time,x,y,z
1.75689e+09,-0.12077,-1.02224,0
1.75689e+09,-0.122151,-0.996392,0
1.75689e+09,-0.124031,-1.02088,0
1.75689e+09,-0.121771,-1.03006,0
1.75689e+09,-0.117351,-1.02855,0
1.75689e+09,-0.119585,-1.02838,0
1.75689e+09,-0.126183,-1.01767,0
1.75689e+09,-0.121099,-1.01885,0
1.75689e+09,-0.111668,-1.02176,0
1.75689e+09,-0.119591,-1.0037,0
1.75689e+09,-0.129316,-0.996007,0
1.75689e+09,-0.118096,-1.00434,0
1.75689e+09,-0.11896,-1.02969,0
1.75689e+09,-0.127746,-1.02292,0
1.75689e+09,-0.11695,-1.01147,0
1.75689e+09,-0.126773,-1.02109,0
1.75689e+09,-0.108939,-1.01003,0
1.75689e+09,-0.142423,-1.02437,0
1.75689e+09,-0.125192,-1.00114,0
1.75689e+09,-0.135295,-1.03383,0
1.75689e+09,-0.125916,-1.01626,0
1.75689e+09,-0.103855,-1.00495,0
1.75689e+09,-0.128489,-1.01584,0
1.75689e+09,-0.118984,-1.00176,0
1.75689e+09,-0.140382,-1.03903,0
1.75689e+09,-0.119894,-1.01819,0
1.75689e+09,-0.105803,-1.00659,0
1.75689e+09,-0.135085,-1.01449,0
1.75689e+09,-0.115837,-1.00754,0
1.75689e+09,-0.148774,-1.02064,0
1.75689e+09,-0.124882,-1.01416,0
1.75689e+09,-0.0942538,-0.999522,0
1.75689e+09,-0.128255,-1.02959,0
1.75689e+09,-0.148909,-1.02272,0
1.75689e+09,-0.113795,-1.01627,0
1.75689e+09,-0.0848924,-0.99439,0
1.75689e+09,-0.124556,-1.0058,0
1.75689e+09,-0.105851,-1.00577,0
1.75689e+09,-0.128145,-1.02414,0
1.75689e+09,-0.112419,-1.01139,0
1.75689e+09,-0.133234,-1.03388,0
1.75689e+09,-0.143093,-1.04214,0
1.75689e+09,-0.114452,-0.997266,0
1.75689e+09,-0.142328,-1.03535,0
1.75689e+09,-0.0993627,-0.983154,0
1.75689e+09,0.138304,-0.910383,0
1.75689e+09,0.148509,-0.93176,0
1.75689e+09,0.0702573,-0.860865,0
1.75689e+09,0.0587814,-0.852603,0
1.75689e+09,0.0412275,-0.828568,0
1.75689e+09,0.0670532,-0.83382,0
1.75689e+09,0.0631468,-0.800089,0
1.75689e+09,0.0638716,-0.820002,0
1.75689e+09,0.094241,-0.80733,0
1.75689e+09,0.10497,-0.818346,0
1.75689e+09,0.113016,-0.819649,0
1.75689e+09,0.109669,-0.793584,0
1.75689e+09,0.108453,-0.813298,0
1.75689e+09,0.116213,-0.793813,0
1.75689e+09,0.101015,-0.800075,0
1.75689e+09,0.106112,-0.81017,0
1.75689e+09,0.0885907,-0.804905,0
1.75689e+09,0.0978071,-0.807902,0
1.75689e+09,0.0911009,-0.797522,0
1.75689e+09,0.0968707,-0.806376,0
1.75689e+09,0.0567608,-0.819009,0
1.75689e+09,0.0736757,-0.797602,0
1.75689e+09,0.0604705,-0.824231,0
1.75689e+09,0.0480694,-0.82595,0
1.75689e+09,0.0474426,-0.800863,0
1.75689e+09,0.0131592,-0.807383,0
1.75689e+09,-0.0264941,-0.789393,0
1.75689e+09,-0.0463904,-0.788954,0
1.75689e+09,-0.0571866,-0.765342,0
1.75689e+09,-0.0843555,-0.764823,0
1.75689e+09,-0.119371,-0.752643,0
1.75689e+09,-0.130936,-0.730618,0
1.75689e+09,-0.149778,-0.723864,0
1.75689e+09,-0.149778,-0.723864,0
1.75689e+09,-0.149778,-0.723864,0
1.75689e+09,-0.256032,-0.264831,0
1.75689e+09,-0.256032,-0.264831,0
1.75689e+09,-0.28834,-0.262994,0
1.75689e+09,-0.306697,-0.261249,0
1.75689e+09,-0.324686,-0.263476,0
1.75689e+09,-0.341204,-0.266348,0
1.75689e+09,-0.363335,-0.264634,0
1.75689e+09,-0.126656,-0.705659,0
1.75689e+09,-0.319162,-0.72439,0
1.75689e+09,-0.341637,-0.754414,0
1.75689e+09,-0.32949,-0.723976,0
1.75689e+09,-0.309081,-0.724882,0
1.75689e+09,-0.422809,-0.729444,0
1.75689e+09,-0.434088,-0.748454,0
1.75689e+09,-0.475744,-0.75801,0
1.75689e+09,-0.488969,-0.739974,0
1.75689e+09,-0.520204,-0.756778,0
1.75689e+09,-0.555215,-0.77166,0
1.75689e+09,-0.577634,-0.779292,0
1.75689e+09,-0.604007,-0.778766,0
1.75689e+09,-0.619063,-0.785791,0
1.75689e+09,-0.67602,-0.799297,0
1.75689e+09,-0.686867,-0.801594,0
1.75689e+09,-0.692341,-0.790244,0
1.75689e+09,-0.745124,-0.812381,0
1.75689e+09,-0.787761,-0.813645,0
1.75689e+09,-0.795888,-0.819707,0
1.75689e+09,-0.863578,-0.813291,0
1.75689e+09,-0.875754,-0.789631,0
1.75689e+09,-0.929097,-0.802219,0
1.75689e+09,-0.965896,-0.787574,0
1.75689e+09,-1.00977,-0.783443,0
1.75689e+09,-1.0553,-0.783913,0
1.75689e+09,-1.11113,-0.761628,0
1.75689e+09,-1.14564,-0.762062,0
1.75689e+09,-1.06083,-0.749475,0
1.75689e+09,-1.1491,-0.815897,0
1.75689e+09,-1.18691,-0.810076,0
1.75689e+09,-1.32556,-0.73504,0
1.75689e+09,-1.31493,-0.711566,0
1.75689e+09,-1.31538,-0.724211,0
1.75689e+09,-1.31511,-0.708742,0
1.75689e+09,-1.33357,-0.72648,0
1.75689e+09,-1.45008,-0.683799,0
1.75689e+09,-1.45668,-0.693644,0
1.75689e+09,-1.44619,-0.690502,0
1.75689e+09,-1.46241,-0.690453,0
1.75689e+09,-1.44838,-0.682712,0
1.75689e+09,-1.45252,-0.678551,0
1.75689e+09,-1.46445,-0.692243,0
1.75689e+09,-1.44304,-0.674602,0
1.75689e+09,-1.44131,-0.679204,0
1.75689e+09,-1.46093,-0.683555,0
1.75689e+09,-1.44169,-0.678237,0
1.75689e+09,-1.43648,-0.694943,0
1.75689e+09,-1.45732,-0.687295,0
1.75689e+09,-1.44854,-0.700713,0
1.75689e+09,-1.43041,-0.685925,0
1.75689e+09,-1.45799,-0.685394,0
1.75689e+09,-1.44578,-0.684371,0
1.75689e+09,-1.45424,-0.699839,0
1.75689e+09,-1.46298,-0.695425,0
1.75689e+09,-1.45112,-0.704326,0
1.75689e+09,-1.4456,-0.693243,0
1.75689e+09,-1.46666,-0.697519,0
1.75689e+09,-1.45827,-0.703636,0
1.75689e+09,-1.46827,-0.696099,0
1.75689e+09,-1.45662,-0.699695,0
1.75689e+09,-1.45455,-0.699735,0
1.75689e+09,-1.45731,-0.702401,0
1.75689e+09,-1.44646,-0.69737,0
1.75689e+09,-1.46848,-0.696493,0
1.75689e+09,-1.4661,-0.697943,0
1.75689e+09,-1.44203,-0.694502,0
1.75689e+09,-1.45879,-0.690567,0
1.75689e+09,-1.45472,-0.693492,0
1.75689e+09,-1.45848,-0.688335,0
1.75689e+09,-1.45745,-0.699684,0
1.75689e+09,-1.46836,-0.703822,0
1.75689e+09,-1.46503,-0.702231,0
1.75689e+09,-1.4657,-0.701567,0
1.75689e+09,-1.46215,-0.711122,0
1.75689e+09,-1.45995,-0.701631,0
1.75689e+09,-1.44466,-0.683757,0
1.75689e+09,-1.4515,-0.708551,0
1.75689e+09,-1.45783,-0.698401,0
1.75689e+09,-1.43362,-0.693589,0
1.75689e+09,-1.45815,-0.701977,0
1.75689e+09,-1.45758,-0.701023,0
1.75689e+09,-1.47412,-0.699642,0
1.75689e+09,-1.45846,-0.689415,0
1.75689e+09,-1.45716,-0.693238,0
1.75689e+09,-1.45159,-0.690841,0
1.75689e+09,-1.44405,-0.688647,0
1.75689e+09,-1.45336,-0.684118,0
1.75689e+09,-1.45115,-0.689758,0
1.75689e+09,-1.44746,-0.684882,0
1.75689e+09,-1.44466,-0.676211,0
1.75689e+09,-1.4467,-0.690244,0
1.75689e+09,-1.46056,-0.688247,0
1.75689e+09,-1.44893,-0.670049,0
1.75689e+09,-1.44558,-0.689179,0
1.75689e+09,-1.42857,-0.677475,0
1.75689e+09,-1.44031,-0.677053,0
1.75689e+09,-1.44838,-0.690308,0
1.75689e+09,-1.45307,-0.685549,0
1.75689e+09,-1.45317,-0.684891,0
1.75689e+09,-1.45004,-0.681156,0
1.75689e+09,-1.45346,-0.680908,0
1.75689e+09,-1.45146,-0.688128,0
1.75689e+09,-1.44496,-0.680639,0
1.75689e+09,-1.45749,-0.691706,0
1.75689e+09,-1.44608,-0.686893,0
1.75689e+09,-1.4476,-0.680923,0
1.75689e+09,-1.44622,-0.688338,0
1.75689e+09,-1.45373,-0.682611,0
1.75689e+09,-1.43919,-0.677664,0
1.75689e+09,-1.46208,-0.683111,0
1.75689e+09,-1.46005,-0.692665,0
1.75689e+09,-1.44817,-0.688174,0
1.75689e+09,-1.44163,-0.679378,0
1.75689e+09,-1.44551,-0.69048,0
1.75689e+09,-1.4487,-0.685214,0
1.75689e+09,-1.44975,-0.692886,0
1.75689e+09,-1.44549,-0.68983,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
1.75689e+09,-1.45435,-0.673987,0
